"variant","animation","direction","asset_kind","status","required_for","relative_path"
"act_ii_salting","walk","side_right","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/walk_side_right.png"
"act_ii_salting","wet","back","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/wet_back.png"
"act_ii_salting","wet","back","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/wet_back.png"
"act_ii_salting","wet","front","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/wet_front.png"
"act_ii_salting","wet","front","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/wet_front.png"
"act_ii_salting","wet","side_left","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/wet_side_left.png"
"act_ii_salting","wet","side_left","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/wet_side_left.png"
"act_ii_salting","wet","side_right","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/wet_side_right.png"
"act_ii_salting","wet","side_right","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/wet_side_right.png"
"act_iii_crusted","","","blender_source","pending","Deterministic render source","art/src/characters/corvin/corvin_act_iii_crusted.blend"
"act_iii_crusted","","","meshy_source","pending","Meshy-to-Blender source","art/src/characters/corvin/meshy/corvin_act_iii_crusted.glb"
"act_iii_crusted","","","texture_source","pending","Ink/toon material source","art/src/characters/corvin/textures/corvin_act_iii_crusted_ink.png"
"act_iii_crusted","idle","back","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/idle_back.png"
"act_iii_crusted","idle","back","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/idle_back.png"
"act_iii_crusted","idle","front","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/idle_front.png"
"act_iii_crusted","idle","front","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/idle_front.png"
"act_iii_crusted","idle","side_left","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/idle_side_left.png"
"act_iii_crusted","idle","side_left","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_iii_crusted/idle_side_left.png"
"act_iii_crusted","idle","side_right","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_iii_crusted/idle_side_right.png"
